Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,264.760009765625,265.30999755859375,260.760009765625,264.4599914550781,238.92283630371094,164390900
2017-12-04,266.30999755859375,266.79998779296875,264.0799865722656,264.1400146484375,238.63368225097656,94040600
2017-12-05,263.19000244140625,265.1499938964844,263.0400085449219,263.19000244140625,237.77545166015625,77994500
2017-12-06,263.29998779296875,263.7300109863281,262.7099914550781,263.239990234375,237.8206024169922,75898600
2017-12-07,264.07000732421875,264.42999267578125,262.94000244140625,264.07000732421875,238.57044982910156,77218600
2017-12-08,265.1600036621094,265.5199890136719,264.0299987792969,265.510009765625,239.87142944335938,76563900
2017-12-11,266.30999755859375,266.3800048828125,265.4800109863281,266.30999755859375,240.5941925048828,83077500
2017-12-12,267.2099914550781,267.32000732421875,266.3500061035156,266.7799987792969,241.018798828125,85195800
2017-12-13,267.05999755859375,267.55999755859375,266.6499938964844,266.75,240.99168395996094,102905400
2017-12-14,267.0899963378906,267.2200012207031,265.6000061035156,265.6600036621094,240.0069580078125,100666700
2017-12-15,265.45001220703125,267.0400085449219,265.3900146484375,266.510009765625,242.00559997558594,144610300
2017-12-18,268.1000061035156,268.6000061035156,267.9800109863281,268.20001220703125,243.54019165039062,83653600
2017-12-19,268.4800109863281,268.5299987792969,267.0899963378906,267.1700134277344,242.60491943359375,82382900
2017-12-20,268.2699890136719,268.3299865722656,266.69000244140625,267.0299987792969,242.47781372070312,76751500
2017-12-21,267.739990234375,268.3900146484375,267.29998779296875,267.5799865722656,242.9772186279297,67032300
2017-12-22,267.6000061035156,267.6400146484375,266.8999938964844,267.510009765625,242.91360473632812,78720900
2017-12-26,267.04998779296875,267.44000244140625,266.8900146484375,267.19000244140625,242.6230926513672,45244400
2017-12-27,267.3800048828125,267.7300109863281,267.010009765625,267.32000732421875,242.74114990234375,57751000
2017-12-28,267.8900146484375,267.9200134277344,267.45001220703125,267.8699951171875,243.24058532714844,45116100
2017-12-29,268.5299987792969,268.54998779296875,266.6400146484375,266.8599853515625,242.32342529296875,96007400
2018-01-02,267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,244.0577392578125,86655700
2018-01-03,268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,245.6015167236328,90070400
2018-01-04,271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,246.63665771484375,80636400
2018-01-05,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28024291992188,83524000
2018-01-08,273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,248.7342987060547,57319200
2018-01-09,274.3999938964844,275.25,274.0799865722656,274.5400085449219,249.29725646972656,57254000
2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,248.91590881347656,69574300
2018-01-11,274.75,276.1199951171875,274.55999755859375,276.1199951171875,250.73196411132812,62361500
2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.3665771484375,90816100
2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,251.50384521484375,106555100
2018-01-17,278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,253.9010772705078,113258800
2018-01-18,279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,253.474365234375,100728000
2018-01-19,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62754821777344,140920100
2018-01-22,280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,256.6978759765625,91322400
2018-01-23,282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,257.2427978515625,97084700
2018-01-24,284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,257.142822265625,134816100
2018-01-25,284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,257.2518005371094,84587300
2018-01-26,284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.230224609375,107743100
2018-01-29,285.92999267578125,286.42999267578125,284.5,284.67999267578125,258.50494384765625,90118300
2018-01-30,282.6000061035156,284.739990234375,281.2200012207031,281.760009765625,255.8534393310547,131796400
2018-01-31,282.7300109863281,283.29998779296875,280.67999267578125,281.8999938964844,255.98048400878906,108364800
2018-02-01,281.07000732421875,283.05999755859375,280.67999267578125,281.5799865722656,255.6899871826172,90102500
2018-02-02,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,250.12362670898438,173174800
2018-02-05,273.45001220703125,275.8500061035156,263.30999755859375,263.92999267578125,239.6627960205078,294681800
2018-02-06,259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,244.38465881347656,355026800
2018-02-07,268.5,272.3599853515625,267.5799865722656,267.6700134277344,243.05889892578125,167376100
2018-02-08,268.010009765625,268.1700134277344,257.5899963378906,257.6300048828125,233.9420623779297,246449500
2018-02-09,260.79998779296875,263.6099853515625,252.9199981689453,261.5,237.4562225341797,283565300
2018-02-12,263.8299865722656,267.010009765625,261.6600036621094,265.3399963378906,240.9431610107422,143736000
2018-02-13,263.9700012207031,266.6199951171875,263.30999755859375,266.0,241.5424346923828,81223600
2018-02-14,264.30999755859375,270.0,264.29998779296875,269.5899963378906,244.80245971679688,120735700
2018-02-15,271.57000732421875,273.0400085449219,268.7699890136719,273.0299987792969,247.92608642578125,111200300
2018-02-16,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,247.9987030029297,160420100
2018-02-20,272.0299987792969,273.6700134277344,270.5,271.3999938964844,246.44601440429688,86369700
2018-02-21,271.8999938964844,274.7200012207031,269.94000244140625,270.04998779296875,245.22010803222656,98883700
2018-02-22,271.1000061035156,273.04998779296875,269.6400146484375,270.3999938964844,245.53787231445312,110511300
2018-02-23,271.7900085449219,274.7099914550781,271.25,274.7099914550781,249.45159912109375,92766400
2018-02-26,275.92999267578125,278.010009765625,275.260009765625,277.8999938964844,252.3483123779297,86491400
2018-02-27,278.1099853515625,278.9200134277344,274.3599853515625,274.42999267578125,249.1973876953125,99099200
2018-02-28,275.67999267578125,276.19000244140625,271.2900085449219,271.6499938964844,246.67295837402344,121907800
2018-03-01,271.4100036621094,273.1700134277344,266.0,267.70001220703125,243.086181640625,176855100
2018-03-02,265.79998779296875,269.7200012207031,264.82000732421875,269.0799865722656,244.33926391601562,139083200
2018-03-05,267.7300109863281,272.8900146484375,267.6099853515625,272.19000244140625,247.16336059570312,97307400
2018-03-06,273.29998779296875,273.3900146484375,271.17999267578125,272.8800048828125,247.7898406982422,79213200
2018-03-07,270.4200134277344,273.17999267578125,270.20001220703125,272.7799987792969,247.69908142089844,87063500
2018-03-08,273.54998779296875,274.239990234375,272.4200134277344,274.1000061035156,248.897705078125,66901200
2018-03-09,275.70001220703125,278.8699951171875,275.3399963378906,278.8699951171875,253.2291259765625,113625300
2018-03-12,279.20001220703125,279.9100036621094,278.0799865722656,278.5199890136719,252.91127014160156,71924800
2018-03-13,279.8399963378906,280.4100036621094,276.0299987792969,276.7200012207031,251.2768096923828,91968900
2018-03-14,277.80999755859375,278.0199890136719,274.6700134277344,275.29998779296875,249.98736572265625,105895100
2018-03-15,275.8800048828125,276.6099853515625,274.42999267578125,275.0,249.71498107910156,83433000
2018-03-16,274.5,275.3900146484375,274.1400146484375,274.20001220703125,249.98573303222656,100343700
2018-03-19,273.3500061035156,274.3999938964844,268.6199951171875,270.489990234375,246.60333251953125,109208400
2018-03-20,270.94000244140625,271.6700134277344,270.17999267578125,270.95001220703125,247.02272033691406,59757300
2018-03-21,270.8999938964844,273.2699890136719,270.19000244140625,270.42999267578125,246.54872131347656,78709600
2018-03-22,267.9100036621094,268.8699951171875,263.3599853515625,263.6700134277344,240.3856201171875,148785900
2018-03-23,264.1700134277344,264.5400085449219,257.8299865722656,258.04998779296875,235.26190185546875,183534800
2018-03-26,262.1300048828125,265.42999267578125,259.4100036621094,265.1099853515625,241.69845581054688,141956100
2018-03-27,266.1700134277344,266.7699890136719,258.8399963378906,260.6000061035156,237.58676147460938,129941400
2018-03-28,260.75,262.6400146484375,258.5799865722656,259.8299865722656,236.8847198486328,146452300
2018-03-29,261.1199951171875,265.260009765625,259.8399963378906,263.1499938964844,239.91152954101562,111601600
2018-04-02,262.54998779296875,263.1300048828125,254.6699981689453,257.4700012207031,234.7331085205078,186286300
2018-04-03,258.8699951171875,261.30999755859375,256.8399963378906,260.7699890136719,237.74172973632812,119956900
2018-04-04,256.75,264.3599853515625,256.6000061035156,263.55999755859375,240.2853240966797,123715300
2018-04-05,265.54998779296875,266.6400146484375,264.32000732421875,265.6400146484375,242.181640625,82652600
2018-04-06,263.4200134277344,265.1099853515625,258.0,259.7200012207031,236.7845001220703,179521200
2018-04-09,261.3699951171875,264.8399963378906,259.94000244140625,261.0,237.95144653320312,105442900
2018-04-10,264.2699890136719,266.0400085449219,262.9800109863281,265.1499938964844,241.73492431640625,103529000
2018-04-11,263.4700012207031,265.6400146484375,263.3900146484375,263.760009765625,240.46771240234375,91140200
2018-04-12,265.260009765625,267.0,265.05999755859375,265.92999267578125,242.44602966308594,68890500
2018-04-13,267.4100036621094,267.5400085449219,264.010009765625,265.1499938964844,241.73492431640625,85079200
2018-04-16,267.0,268.20001220703125,266.07000732421875,267.3299865722656,243.72239685058594,63405300
2018-04-17,269.3299865722656,270.8699951171875,268.75,270.19000244140625,246.32984924316406,64682000
